Comp No,Comp Name,SIC Code,Inc Date,Last Made Up Date,Cash
7957946,CLICK 'N' MIX LIMITED,None,21/02/2012,,
0,,,,,
7893885,ICLEAN4U LTD,82990,30/12/2011,30/12/2012,
6987579,GLOBAL MARKETING SERVICE LIMITED,73110,11/08/2009,11/08/2012,0
6676209,THE NORTH WEST COLLEGE OF HOMOEOPATHY (MANCHESTER) LIMITED,85421,19/08/2008,19/08/2012,"25,941"
0,,,,,
8135189,YORKSHIRE CCTV LTD,None,09/07/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6667173,CEG THEATRE & ENTERTAINMENT SERVICES LTD,90020,07/08/2008,07/08/2012,524
0,,,,,
5940306,PC'S MADE SIMPLE LIMITED,95110,19/09/2006,01/09/2012,0
0,,,,,
0,,,,,
8231529,TL LEISURE & WORKWEAR LTD,None,27/09/2012,,
0,,,,,
7895268,AC MEDIA INC LIMITED,None,03/01/2012,,
0,,,,,
6268115,SAPATH SYSTEMS  LIMITED,62020,04/06/2007,04/06/2012,0
7358038,CONTEGO FRAUD SOLUTIONS LIMITED,70229,26/08/2010,26/08/2012,"203,889"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7084279,WHITE LABEL PUBLISHING LTD,70210,23/11/2009,21/11/2012,"146,480"
0,,,,,
4340797,KKJ LIMITED,53202,14/12/2001,14/12/2012,"43,780"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
4784245,24BOX LTD,62020,02/06/2003,02/06/2012,802
7406244,THEORY AND PRACTICE OF SOFTWARE LTD,62012,13/10/2010,13/10/2012,200
7217356,JACK BARBER LIMITED,62090,08/04/2010,08/04/2012,"1,171"
0,,,,,
4872310,THE BURLINGTON ARMS PUB CO LTD,47250,20/08/2003,20/08/2012,"597,867"
5469003,THE ELECTRIC TRANSPORT SHOP LIMITED,45400,01/06/2005,24/05/2012,"26,590"
970323,CENTRAL LONDON MASONIC CENTRE LIMITED,94990,16/01/1970,15/11/2012,
4948119,ITALIAN FURNITURE DIRECT LIMITED,47599,30/10/2003,27/11/2012,"7,420"
0,,,,,
8172025,4749 LIMITED,None,08/08/2012,,
0,,,,,
0,,,,,
4569212,SECURIO LIMITED,62090,22/10/2002,13/10/2012,"8,373"
7717230,KING'S LYNN WEBSITE DESIGN LTD,62012,25/07/2011,25/07/2012,
6520777,THE LEAFLET DELIVERY COMPANY LTD,73120,03/03/2008,03/03/2012,"12,554"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6885856,SHQ LTD,62012,23/04/2009,23/04/2012,10
0,,,,,
8079006,SUMAK SUSTAINABLE TRAVEL LTD,None,22/05/2012,,
0,,,,,
0,,,,,
8037895,BONZA TRADING LTD,None,19/04/2012,,
00 08303298,,,,,
0,,,,,
8238001,MEGA GYM LIMITED,None,03/10/2012,,
0,,,,,
0,,,,,
0,,,,,
5102779,STUBBS PARKIN TAYLOR & CO LIMITED,69201,15/04/2004,15/04/2012,"65,415"
8370660,PTARA LTD,None,22/01/2013,,
4594238,CLAUDIA ASHLEIGH LIMITED,86900,19/11/2002,18/11/2012,"10,478"
0,,,,,
7854248,INNOVATIVE LEGAL SOFTWARE SOLUTIONS LIMITED,62012,21/11/2011,21/11/2012,
00 08235855,,,,,
5494592,TOWN CENTRE CAR PARKS LIMITED,68209,29/06/2005,29/06/2012,"2,350,285"
0,,,,,
8150739,SEVEN ELEVATION LTD,None,20/07/2012,,
5917141,MYCONCEPT LTD,96090,25/08/2006,25/08/2012,"5,792"
0,,,,,
8301950,JRADAMS ENGINEERING LIMITED,None,21/11/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
3744459,DRUGSDIRECT LIMITED,21100,31/03/1999,31/03/2012,0
00 04020812,,,,,
8111672,RED ADORE MEDIA LIMITED,None,19/06/2012,,
0,,,,,
0,,,,,
00SC430741,,,,,
0,,,,,
0,,,,,
6972515,ARONOVA SPV LIMITED,62012,25/07/2009,25/07/2012,0
5552537,VERBATEXT REPORTING LIMITED,82990,02/09/2005,02/09/2012,"184,790"
5453956,INSPIRED BUSINESS MARKETING LIMITED,62012,17/05/2005,17/05/2012,581
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7193768,GIRL MEETS DRESS LTD,82990,17/03/2010,17/03/2012,"6,486"
0,,,,,
6866901,SOLA SOFTWARE LTD,62012,01/04/2009,01/04/2012,"24,127"
0,,,,,
0,,,,,
0,,,,,
5256391,DOVE COMPUTER SOLUTIONS LIMITED,95110,12/10/2004,12/10/2012,"71,165"
0,,,,,
00SO302651,,,,,
0,,,,,
6784139,V6 UK LIMITED,96090,06/01/2009,06/01/2013,"2,230"
8007458,LAND SOCIETY CIC,None,27/03/2012,,
0,,,,,
7497347,MATTE BOX MEDIA LIMITED,59112,19/01/2011,19/01/2013,"18,413"
8120259,BGI SPEAKING LTD,None,26/06/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7838957,MND TRADING LIMITED,82920,08/11/2011,08/11/2012,
0,,,,,
0,,,,,
7053099,BIG TED LTD,62090,22/10/2009,22/10/2012,"41,960"
0,,,,,
8066796,KAPE STRATEGY LIMITED,None,14/05/2012,,
7373834,BABYHUDDLE LTD,62090,13/09/2010,13/09/2012,0
00B139574,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
789180,DOCUMENT TRANSPORTS LIMITED,55100,24/01/1964,23/07/2012,
8335435,VIVA ACCESS LIMITED,None,18/12/2012,,
7885342,REBUILDINGSOCIETY.COM LTD,64999,16/12/2011,16/12/2012,
0,,,,,
7780911,EXPERIENCE THE HIMALAYAS LIMITED,79120,20/09/2011,20/09/2012,
0,,,,,
7260901,THYNK LIMITED,62090,21/05/2010,21/05/2012,57
0,,,,,
0,,,,,
0,,,,,
6753929,PROFESSIONAL PLUMBING & HEATING LTD,43220,20/11/2008,20/11/2012,"1,611"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7534746,THE DOLLS HOUSE STORE LTD,47190,18/02/2011,18/02/2012,
0,,,,,
0,,,,,
8358203,DRAINGAIN LTD,None,14/01/2013,,
0,,,,,
0,,,,,
8226267,PRACTICEPA LIMITED,None,24/09/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8197324,PLAYAWAY WEEKENDS (UK) LIMITED,None,31/08/2012,,
7319175,MAXFLEX LIMITED,96090,20/07/2010,01/10/2012,0
0,,,,,
0,,,,,
8209689,ALL THINGS WHERE LIMITED,None,11/09/2012,,
7887537,CB ENTERTAINMENT LIMITED,93290,20/12/2011,20/12/2012,20
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8080317,ADPROTIZE LTD,None,23/05/2012,,
8281066,SMAPROGROUP (UK) LTD,None,05/11/2012,,
5873605,Z CARS GLOBAL LIMITED,49320,12/07/2006,12/07/2012,"2,322"
0,,,,,
0,,,,,
0,,,,,
4765844,RED HOUSE SOLUTIONS LIMITED,62012,15/05/2003,15/05/2012,"205,498"
0,,,,,
0,,,,,
0,,,,,
7374249,AUSTIN CORP LIMITED,62012,13/09/2010,13/09/2012,"1,285"
