Comp No,Comp Name,SIC Code,Inc Date,Last Made Up Date,Cash
8044800,TIMEET LIMITED,None,25/04/2012,,
0,,,,,
0,,,,,
0,,,,,
8158861,JUSTSERVE LIMITED,None,27/07/2012,,
8298119,BOURNEMOUTH PUBLISHING LIMITED,None,19/11/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6983316,BARTON GROWTH & EQUITY LIMITED,62090,06/08/2009,06/08/2012,0
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7347067,DIGNITY PERSONNEL LIMITED,52290,16/08/2010,16/08/2012,"1,333"
7786337,STICKY KIWI LIMITED,73110,26/09/2011,26/09/2012,
0,,,,,
8173088,BACKOFF SOLUTIONS LIMITED,None,09/08/2012,,
0,,,,,
0,,,,,
0,,,,,
00SC426346,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
4665749,AZ*TECH E.COM LIMITED,62020,13/02/2003,13/02/2012,429
0,,,,,
0,,,,,
7422939,ASPURIAN LTD,70229,29/10/2010,29/10/2012,"10,468"
6988086,RENT4SURE LTD,82990,12/08/2009,11/08/2012,"10,162"
4833845,7 RECTORY GROVE PROPERTY MANAGEMENT LTD,98000,16/07/2003,16/07/2012,"3,556"
4928745,THE COACHING WORKS (UK) LIMITED,96090,10/10/2003,10/10/2011,479
7944641,PROLETTS LIMITED,None,10/02/2012,,
0,,,,,
0,,,,,
0,,,,,
7424784,MY MARKETING AID LTD,73110,01/11/2010,01/11/2012,"55,456"
7814998,PROBIZCLIPS LTD,59112,19/10/2011,19/10/2012,
0,,,,,
8294957,TRIVAEO CLOUD SERVICES LIMITED,None,15/11/2012,,
8141604,DEVONSHIRE CREDIT SERVICES LIMITED,None,12/07/2012,,
8037659,SPEECH BUBBLE MARKETING LIMITED,None,19/04/2012,,
6927331,THE FINANCE DEPT LIMITED,69201,08/06/2009,08/06/2012,"1,525"
0,,,,,
7578409,PROTHOS SERVICES LIMITED,81222,25/03/2011,25/03/2012,0
0,,,,,
4906914,MC CLOTHING LIMITED,5242,22/09/2003,22/09/2007,0
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8330014,YOURVPS LIMITED,None,13/12/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
5360014,BPS DESIGNS LIMITED,82990,10/02/2005,10/02/2012,"9,993"
0,,,,,
0,,,,,
0,,,,,
8305129,YAARA UK LTD,None,23/11/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
5569205,CJ CONSULTING EUROPE  LIMITED,82990,20/09/2005,20/09/2012,77
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8226352,BEAUFORT 12 CONSULTING LIMITED,None,24/09/2012,,
8119635,GOSOCL LIMITED,None,26/06/2012,,
0,,,,,
8019321,TOUCH RIGHT SOFTWARE LIMITED,None,04/04/2012,,
0,,,,,
4683692,BLUE SKY PUBLICATIONS LIMITED,58130,03/03/2003,03/03/2012,"51,753"
0,,,,,
7216105,ARUN SECURITY SERVICES LIMITED,96090,08/04/2010,08/04/2012,0
8259622,PC REPAIR SERVICE LTD,None,18/10/2012,,
0,,,,,
0,,,,,
0,,,,,
7975321,GETWISEMARKETING LIMITED,None,05/03/2012,,
0,,,,,
0,,,,,
7523172,MCS DIRECTORY LTD,63990,09/02/2011,09/02/2012,"8,397"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7940885,PORTER AND LACE LIMITED,None,08/02/2012,,
"00124 Brookhouse Road,",,,,,
0,,,,,
0,,,,,
5155336,THE UK LEADERSHIP ACADEMY LTD,70229,16/06/2004,16/06/2012,0
7591677,LEAPFROG GROUP G.B. LTD,33130,05/04/2011,05/04/2012,429
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8027590,RAPID ENVIRONMENTAL SERVICES LIMITED,None,12/04/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
4655885,ARK AURORA LTD,69201,04/02/2003,04/02/2012,"56,501"
0,,,,,
7671339,SIGNATURE NETWORK SOLUTIONS LIMITED,61100,15/06/2011,15/06/2012,
6553217,ISEV LIMITED,62090,02/04/2008,02/04/2012,"75,678"
8070490,PROTOCOL12 LIMITED,None,16/05/2012,,
0,,,,,
7701041,LOYALLI LTD,63120,12/07/2011,12/07/2012,
0,,,,,
6443031,LUNA GOLF LIMITED,70229,03/12/2007,03/12/2012,"9,575"
0,,,,,
0,,,,,
7408547,INDIVIDUAL INTERIOR SOLUTIONS LTD,96090,15/10/2010,15/10/2012,"2,196"
8330697,LEGACY GLOBAL MEDIA LTD,None,13/12/2012,,
6974948,CLUB TAXIS (UK) LIMITED,49320,28/07/2009,28/07/2012,"4,728"
5709194,WEBSITE DESIGN LTD,62012,14/02/2006,14/02/2012,"42,801"
0,,,,,
3552727,BLACKBOARD ASSOCIATES LIMITED,59112,24/04/1998,24/04/2012,"5,795"
7713880,OFF PISTE PERFORMANCE LIMITED,93199,21/07/2011,21/07/2012,
0,,,,,
0,,,,,
7349158,EXPANDYS LIMITED,70229,18/08/2010,18/08/2012,"6,491"
8196855,HYDRODESK LTD,None,31/08/2012,,
0,,,,,
0,,,,,
7501137,4SITE IT SOLUTIONS LIMITED,62020,21/01/2011,21/01/2012,"1,097"
0,,,,,
0,,,,,
0,,,,,
8229672,MAYES HEATING LIMITED,None,26/09/2012,,
8289974,BRAINPULSE LTD,None,12/11/2012,,
0,,,,,
0,,,,,
3552727,BLACKBOARD ASSOCIATES LIMITED,59112,24/04/1998,24/04/2012,"5,795"
0,,,,,
0,,,,,
00 05213508,,,,,
0,,,,,
8271119,PATIENT PAD LTD,None,29/10/2012,,
0,,,,,
7724537,NIMBUS ACCOUNTING LIMITED,69201,01/08/2011,01/08/2012,
0,,,,,
0,,,,,
0,,,,,
6825940,REFLEXION ASSOCIATES LIMITED,70229,20/02/2009,20/02/2012,"11,560"
0,,,,,
7588408,JEALOUS COW LIMITED,46450,01/04/2011,01/04/2012,"1,176"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
4707157,J.T.E. LIMITED,62020,21/03/2003,21/03/2012,"6,311"
0,,,,,
7232180,IN-TANDEM MANAGEMENT SOLUTIONS LTD,70229,22/04/2010,22/04/2012,"1,654"
0,,,,,
7309617,FLAVR LIMITED,62090,09/07/2010,09/07/2012,720
7906283,SUSTAINATION LIMITED,63990,11/01/2012,11/01/2013,
0,,,,,
0,,,,,
0,,,,,
7847296,SAI DIGITAL LIMITED,74202,14/11/2011,14/11/2012,
5310839,LYONS BUSINESS SERVICES LIMITED,47789,10/12/2004,10/12/2012,"38,320"
5339730,EASY AS IT LIMITED,82990,24/01/2005,24/01/2012,"9,156"
7117724,BLISS DIGITAL LTD,62012,06/01/2010,06/01/2012,"86,974"
8356952,NUPLAY LTD,None,11/01/2013,,
4545781,EALING SCHOOLS PARTNERSHIPS LIMITED,41100,26/09/2002,26/09/2012,"52,990"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7346161,RISE DIGITAL MEDIA LIMITED,62020,16/08/2010,16/08/2012,"3,256"
7902329,JOBCENTREPOD LIMITED,None,09/01/2012,,
0,,,,,
4787093,KAJIMA HAVERSTOCK LIMITED,41100,04/06/2003,04/06/2012,"29,949"
0,,,,,
0,,,,,
7263639,DALMON ENTERPRISE LIMITED,82990,24/05/2010,24/05/2012,0
7770419,WDLOG LTD,74909,12/09/2011,12/09/2012,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0053167 BZ,,,,,
1679738,,,,,
0,,,,,
00SC278724,,,,,
8354189,08DIAL.COM LTD,None,09/01/2013,,
0,,,,,
8059675,JOINT EFFORT STUDIOS LTD,None,08/05/2012,,
0,,,,,
0,,,,,
7039414,SRNM LIMITED,69202,13/10/2009,13/10/2012,0
5703656,ARTICLE SEVEN LIMITED,62090,09/02/2006,09/02/2012,"76,343"
7626975,CASHBACKPOINT LTD,63990,09/05/2011,09/05/2012,
6309479,LSEB WEB LIMITED,62012,11/07/2007,11/07/2012,"5,400"
8234933,SUPER THINKERS LTD,None,01/10/2012,,
3761970,MIRAMEDIA LIMITED,62012,28/04/1999,28/04/2012,0
0,,,,,
3015714,SOUTH KENSINGTON BUSINESS CENTRE LIMITED,96090,30/01/1995,30/01/2012,"53,959"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8354012,ARDENT SECURITY CANINE LTD,None,09/01/2013,,
00SC367304,,,,,
0,,,,,
0,,,,,
00 7773814,,,,,
0,,,,,
0,,,,,
0,,,,,
5829542,SALON IRIS LTD,62090,26/05/2006,26/05/2012,"52,218"
0,,,,,
00 8284926,,,,,
7190073,SNIFFLES LIMITED,47190,16/03/2010,16/03/2012,557
0,,,,,
0,,,,,
8127758,NEIGHBOURHOOD FOCUS LIMITED,None,03/07/2012,,
3230973,TRASE (UK) LIMITED,62020,29/07/1996,29/07/2012,152
0,,,,,
7439689,RACEMECHANIC.CO.UK LIMITED,96090,15/11/2010,15/11/2012,0
5918562,ANABASYS LIMITED,62020,29/08/2006,27/08/2012,"1,116"
0,,,,,
1151823,SOHO THEATRE COMPANY LIMITED,90010,17/12/1973,27/11/2012,"443,040"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7307537,EMILY QUINTON LTD,96090,07/07/2010,07/07/2012,"1,317"
0,,,,,
0,,,,,
7144709,TOPLINE RETAIL LTD,47910,03/02/2010,03/02/2012,"6,796"
7979658,EXE - JEANS&FASHION LTD.,None,07/03/2012,,
7498117,CERTAIN PRODUCTIONS LIMITED,60200,19/01/2011,30/06/2012,0
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
00SC397896,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8039213,NODEUK LIMITED,None,20/04/2012,,
4563665,SHAPE CREATIVE LTD,62090,15/10/2002,15/10/2012,"35,110"
0,,,,,
0,,,,,
3851491,HUGOFOX LTD,63110,30/09/1999,30/09/2012,0
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7330525,MARKETINVOICE LIMITED,63990,29/07/2010,29/07/2012,"143,210"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7303672,PARCELSAVE LTD,82990,05/07/2010,05/07/2012,0
0,,,,,
7792663,BOHEMIA INTERACTIVE SIMULATIONS (UK) LIMITED,62012,30/09/2011,30/09/2012,
8292421,LUCENTUM BUSINESS SERVICES LTD,None,13/11/2012,,
7006181,TAX BY DESIGN LTD,69201,01/09/2009,01/09/2012,"11,534"
7762703,VEDA NFP CONSULTING LIMITED,62012,05/09/2011,05/09/2012,
7857856,THINK GREEN PROJECT LIMITED,39000,23/11/2011,31/12/2012,
6393882,9EONS LIMITED,61900,09/10/2007,09/10/2012,"81,477"
6837920,WEAPON OF CHOICE LTD,90040,05/03/2009,05/03/2012,34
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7489169,PINK SKY LTD,62090,11/01/2011,11/01/2012,"2,300"
8323913,ISLAND14 LTD,None,10/12/2012,,
0,,,,,
0,,,,,
7862447,ORTOMEDIA LTD,73110,28/11/2011,28/11/2012,
0,,,,,
8004497,CENTIUS LIMITED,None,23/03/2012,,
0,,,,,
0,,,,,
6330365,CYCAD SECURITY LTD,80100,01/08/2007,01/08/2012,"3,681"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6636109,CLEAR BOOKS LIMITED,62012,02/07/2008,31/03/2012,"139,492"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
